,Protein_Group,Protein_Ids,Protein_Names,Genes,First_Protein_Description,Peptides,Q331K_M1,Q331K_M2,WT_M3,WT_M4
264,P68372,P68372;P99024;Q9D6F9,TBB4B_MOUSE,Tubb4b,Tubulin beta-4B chain,23,14098700.0,9511210.0,10918100.0,7034580.0
265,P68404;P68404-2,P20444;P68404;P68404-2;Q3TQ39;Q4VA93,KPCB-2_MOUSE;KPCB_MOUSE,Prkcb,Protein kinase C beta type,1,34728.0,87960.6,0.0,0.0
266,P70365;P70365-2;P70365-3;P70365-4,P70365;A0A1W2P7C1;A0A1W2P881;P70365-2;P70365-3;P70365-4,NCOA1-2_MOUSE;NCOA1-3_MOUSE;NCOA1-4_MOUSE;NCOA1_MOUSE,Ncoa1,Nuclear receptor coactivator 1,2,200389.0,190499.0,0.0,285616.0
267,P70372,P70372,ELAV1_MOUSE,Elavl1,ELAV-like protein 1,3,305766.0,241555.0,0.0,262586.0
268,P70398,P70398;Q4FE56,USP9X_MOUSE,Usp9x,Probable ubiquitin carboxyl-terminal hydrolase FAF-X,2,83926.3,64161.2,54158.6,33925.9
269,P83882,A0A2I3BPG9;P83882,RL36A_MOUSE,Rpl36a,60S ribosomal protein L36a,3,843914.0,713261.0,955919.0,1100660.0
270,P84091,P84091;Q3TWV4,AP2M1_MOUSE,Ap2m1,AP-2 complex subunit mu,2,296414.0,292899.0,226412.0,413658.0
271,P84099,P84099;A2A547,RL19_MOUSE,Rpl19,60S ribosomal protein L19,2,1321730.0,1082390.0,1525780.0,1761540.0
272,P84104;P84104-2,P84104;P84104-2,SRSF3-2_MOUSE;SRSF3_MOUSE,Srsf3,Serine/arginine-rich splicing factor 3,7,2041800.0,1557550.0,1384800.0,2223230.0
273,P86048;Q6ZWV3,P86048;Q6ZWV3;A0A1B0GXC3;I7HLV2,RL10L_MOUSE;RL10_MOUSE,Rpl10;Rpl10l,60S ribosomal protein L10-like,3,644086.0,519942.0,778860.0,1043370.0
274,P97315,P97315,CSRP1_MOUSE,Csrp1,Cysteine and glycine-rich protein 1,2,457151.0,573711.0,281248.0,479831.0
275,P97350,P97350,PKP1_MOUSE,Pkp1,Plakophilin-1,4,231650.0,286942.0,261758.0,429006.0
276,P97427,P97427;Q6P1J1,DPYL1_MOUSE,Crmp1,Dihydropyrimidinase-related protein 1,3,103425.0,92909.2,0.0,161949.0
277,P97445,P97445;A0A1L1SQZ2;A0A571BEF0;A0A571BET0;E9Q1R5,CAC1A_MOUSE,Cacna1a,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,1,32109.6,60837.5,0.0,0.0
278,P97461,P97461;D3YYM6;D3Z1S8;Q91V55,RS5_MOUSE,Rps5,40S ribosomal protein S5,2,65873.8,39712.9,100272.0,74208.8
279,P97797;P97797-2;P97797-3;P97797-4,P97797;A2ANC1;P97797-2;P97797-3;P97797-4,SHPS1-2_MOUSE;SHPS1-3_MOUSE;SHPS1-4_MOUSE;SHPS1_MOUSE,Sirpa,Tyrosine-protein phosphatase non-receptor type substrate 1,1,0.0,130198.0,0.0,0.0
280,P97863;P97863-2;P97863-3,P97863;A2BG75;A2BG76;A2BG77;I7HIP8;P97863-2;P97863-3,NFIB-2_MOUSE;NFIB-3_MOUSE;NFIB_MOUSE,Nfib,Nuclear factor 1 B-type,2,52703.3,72133.2,0.0,116962.0
281,P97868;P97868-2,P97868;A0A0R4J165;A0A338P6W1;P97868-2;P97868-3,RBBP6-2_MOUSE;RBBP6_MOUSE,Rbbp6,E3 ubiquitin-protein ligase RBBP6,5,303774.0,227704.0,207094.0,251229.0
282,P99024,P99024,TBB5_MOUSE,Tubb5,Tubulin beta-5 chain,2,2528890.0,2478720.0,2239220.0,1843440.0
283,P99029;P99029-2,P99029;A0A494BAZ4;G3UZJ4;H3BJQ7;P99029-2,PRDX5-2_MOUSE;PRDX5_MOUSE,Prdx5,"Peroxiredoxin-5, mitochondrial",5,463121.0,608094.0,229964.0,236123.0
284,Q00623,Q00623,APOA1_MOUSE,Apoa1,Apolipoprotein A-I,9,1670230.0,1405580.0,1306060.0,1360670.0
285,Q00897,Q00897,A1AT4_MOUSE,Serpina1d,Alpha-1-antitrypsin 1-4,1,48963.3,0.0,0.0,42300.9
286,Q00PI9,Q00PI9,HNRL2_MOUSE,Hnrnpul2,Heterogeneous nuclear ribonucleoprotein U-like protein 2,11,255636.0,226802.0,20334.9,226018.0
287,Q01853,Q01853,TERA_MOUSE,Vcp,Transitional endoplasmic reticulum ATPase,1,0.0,0.0,0.0,174363.0
288,Q02248,Q02248;D3YUH4;E9Q6A9;F6QZ47,CTNB1_MOUSE,Ctnnb1,Catenin beta-1,1,0.0,0.0,0.0,583288.0
289,Q02257,Q02257,PLAK_MOUSE,Jup,Junction plakoglobin,26,1204900.0,1147830.0,1298240.0,2032100.0
290,Q03141;Q03141-2;Q03141-3;Q05512;Q05512-2;Q05512-3;Q05512-4;Q8CIP4;Q8CIP4-2;Q8VHJ5,Q03141;Q05512;Q8CIP4;Q8VHJ5;A0A0A6YY78;A0A0R4J0B1;A0A0R4J227;A0A1Y7VNZ6;E9PYX3;E9Q2J6;E9Q9N6;E9QMP6;F6ZS70;Q03141-2;Q03141-3;Q05512-2;Q05512-3;Q05512-4;Q3T9A3;Q8CIP4-2,MARK1_MOUSE;MARK2-2_MOUSE;MARK2-3_MOUSE;MARK2-4_MOUSE;MARK2_MOUSE;MARK3-2_MOUSE;MARK3-3_MOUSE;MARK3_MOUSE;MARK4-2_MOUSE;MARK4_MOUSE,Mark1;Mark2;Mark3;Mark4,MAP/microtubule affinity-regulating kinase 3,1,53035.7,98075.2,0.0,0.0
291,Q03265,Q03265;D3Z6F5,ATPA_MOUSE,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",15,2870780.0,1890040.0,1566450.0,1153420.0
292,Q04750,Q04750,TOP1_MOUSE,Top1,DNA topoisomerase 1,2,47396.0,119138.0,59112.9,61245.7
293,Q05793,Q05793;B1B0C7;E9PZ16,PGBM_MOUSE,Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein,2,86764.4,0.0,0.0,0.0
294,Q05816,Q05816,FABP5_MOUSE,Fabp5,Fatty acid-binding protein 5,1,355752.0,338155.0,175337.0,633967.0
295,Q05D44,Q05D44,IF2P_MOUSE,Eif5b,Eukaryotic translation initiation factor 5B,8,306856.0,241164.0,181578.0,276987.0
296,Q08189,Q08189,TGM3_MOUSE,Tgm3,Protein-glutamine gamma-glutamyltransferase E,1,91173.4,65161.9,67889.3,149746.0
297,Q09014,Q09014;F8WH69;S4R293,NCF1_MOUSE,Ncf1,Neutrophil cytosol factor 1,1,128869.0,0.0,107861.0,0.0
298,Q2PFD7;Q2PFD7-2;Q2PFD7-3;Q2PFD7-4;Q2PFD7-5,Q2PFD7;A0A1D5RLK2;A0A1D5RMH7;F6Z9E6;Q2PFD7-2;Q2PFD7-3;Q2PFD7-4;Q2PFD7-5,PSD3-2_MOUSE;PSD3-3_MOUSE;PSD3-4_MOUSE;PSD3-5_MOUSE;PSD3_MOUSE,Psd3,PH and SEC7 domain-containing protein 3,1,0.0,0.0,0.0,102507.0
299,Q3TCX3;Q3TCX3-2;Q3TCX3-3,Q3TCX3;A0A0G2JEG2;Q3TCX3-2;Q3TCX3-3,KHDC4-2_MOUSE;KHDC4-3_MOUSE;KHDC4_MOUSE,Khdc4,KH homology domain-containing protein 4,2,147629.0,165019.0,0.0,145332.0
300,Q3TEA8;Q3TEA8-2,Q3TEA8;A2AM65;Q3TEA8-2;Q3TEA8-3;Z4YKA3;Z4YKB8,HP1B3-2_MOUSE;HP1B3_MOUSE,Hp1bp3,Heterochromatin protein 1-binding protein 3,12,723378.0,430460.0,434095.0,1453340.0
301,Q3TXX4,Q3TXX4;A0A1B0GRU0,VGLU1_MOUSE,Slc17a7,Vesicular glutamate transporter 1,4,447284.0,295240.0,232543.0,210233.0
302,Q3U0V1,Q3U0V1;A0A3B2WCD8,FUBP2_MOUSE,Khsrp,Far upstream element-binding protein 2,27,2973830.0,3641790.0,396571.0,3451750.0
303,Q3U155,Q3U155;A0A0R4J0L8,CC174_MOUSE,Ccdc174,Coiled-coil domain-containing protein 174,1,97535.6,67471.1,0.0,42855.3
304,Q3UEB3;Q3UEB3-2;Q3UEB3-3,Q3UEB3;Q3UEB3-2;Q3UEB3-3,PUF60-2_MOUSE;PUF60-3_MOUSE;PUF60_MOUSE,Puf60,Poly(U)-binding-splicing factor PUF60,14,696392.0,646960.0,435060.0,643308.0
305,Q3UH68;Q3UH68-2,Q3UH68;A0A5F8MPN3;D3YU22;D3YU59;D3YV55;D3Z589;F6X3N8;Q3UH68-2,LIMC1-2_MOUSE;LIMC1_MOUSE,Limch1,LIM and calponin homology domains-containing protein 1,1,94099.6,54888.0,86872.9,99050.0
306,Q3UHB8,Q3UHB8,CC177_MOUSE,Ccdc177,Coiled-coil domain-containing protein 177,4,143896.0,218149.0,87871.6,90779.8
307,Q3UHD9;Q3UHD9-2,Q3UHD9;A0A5F8MPB7;Q3UHD9-2,AGAP2-2_MOUSE;AGAP2_MOUSE,Agap2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",1,45545.4,0.0,0.0,0.0
308,Q3UHJ0;Q3UHJ0-2,Q3UHJ0;A0A571BDM4;Q3UHJ0-2,AAK1-2_MOUSE;AAK1_MOUSE,Aak1,AP2-associated protein kinase 1,6,230663.0,412492.0,0.0,226845.0
309,Q3UHL1,Q3UHL1;A0A0A6YW88,CAMKV_MOUSE,Camkv,CaM kinase-like vesicle-associated protein,5,89400.6,75622.6,65669.7,145265.0
310,Q3UIA2;Q3UIA2-2;Q3UIA2-3;Q3UIA2-4,Q3UIA2;A0A0U1RNM6;E9QAJ9;Q3UIA2-2;Q3UIA2-3;Q3UIA2-4,RHG17-2_MOUSE;RHG17-3_MOUSE;RHG17-4_MOUSE;RHG17_MOUSE,Arhgap17,Rho GTPase-activating protein 17,1,228306.0,161203.0,214954.0,286391.0
311,Q3UJB0,Q3UJB0,Q3UJB0_MOUSE,Sf3b2,SAP domain-containing protein,8,487848.0,404850.0,0.0,503125.0
312,Q3UL36,Q3UL36;A0A140LIS5;Q3UL36-2,ARGL1_MOUSE,Arglu1,Arginine and glutamate-rich protein 1,8,4744220.0,2759470.0,3850410.0,2307370.0
313,Q3ULD5,Q3ULD5,MCCB_MOUSE,Mccc2,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial",20,1097040.0,1397770.0,1539400.0,789629.0
314,Q3UMG5;Q3UMG5-2;Q3UMG5-3,Q3UMG5;A2AMP0;F6VQ19;F7AAC3;Q3UMG5-2;Q3UMG5-3,LRCH2-2_MOUSE;LRCH2-3_MOUSE;LRCH2_MOUSE,Lrch2,Leucine-rich repeat and calponin homology domain-containing protein 2,1,349298.0,268352.0,304895.0,424906.0
315,Q3UNH4,Q3UNH4,GRIN1_MOUSE,Gprin1,G protein-regulated inducer of neurite outgrowth 1,10,620872.0,766199.0,0.0,538852.0
316,Q3UQS2;Q3UQS2-2,Q3UQS2;Q3UQS2-2,LSME1-2_MOUSE;LSME1_MOUSE,Lsmem1,Leucine-rich single-pass membrane protein 1,1,229476.0,133435.0,0.0,94884.3
317,Q3UVX5;Q3UVX5-2,Q3UVX5;E9QMC2;Q3UVX5-2,GRM5-2_MOUSE;GRM5_MOUSE,Grm5,Metabotropic glutamate receptor 5,1,79022.3,69815.2,36105.3,0.0
318,Q4KMM3;Q4KMM3-2;Q4KMM3-3;Q4KMM3-4,Q4KMM3;A0A2R8VI09;A0A2R8VKF8;A0A2R8W6N3;E9Q0A7;Q4KMM3-2;Q4KMM3-3;Q4KMM3-4,OXR1-2_MOUSE;OXR1-3_MOUSE;OXR1-4_MOUSE;OXR1_MOUSE,Oxr1,Oxidation resistance protein 1,2,108998.0,70804.5,0.0,90159.3
319,Q4KUS2,Q4KUS2;H3BJL3;H3BJZ7,UN13A_MOUSE,Unc13a,Protein unc-13 homolog A,1,0.0,71837.5,0.0,0.0
320,Q4U2R1;Q4U2R1-2,Q4U2R1;Q4U2R1-2,HERC2-2_MOUSE;HERC2_MOUSE,Herc2,E3 ubiquitin-protein ligase HERC2,1,0.0,49800.1,0.0,0.0
321,Q501J6,Q501J6;Q3U741,DDX17_MOUSE,Ddx17,Probable ATP-dependent RNA helicase DDX17,12,440635.0,434608.0,158673.0,537973.0
322,Q52KI8,Q52KI8;A2A8V8;A2A8V9;E9PUK6;E9QKA4;F6UK16;Q52KI8-2,SRRM1_MOUSE,Srrm1,Serine/arginine repetitive matrix protein 1,3,284753.0,213290.0,189827.0,240795.0
323,Q569Z5,Q569Z5;F8WHR6;Q569Z5-2,DDX46_MOUSE,Ddx46,Probable ATP-dependent RNA helicase DDX46,30,880796.0,866043.0,592953.0,720965.0
324,Q569Z6,Q569Z6;Q8BZN7,TR150_MOUSE,Thrap3,Thyroid hormone receptor-associated protein 3,3,285763.0,326500.0,55595.9,245406.0
325,Q5DTY9,Q5DTY9;Q6WVG3;A0A0R4J2B2,KCD16_MOUSE,Kctd16,BTB/POZ domain-containing protein KCTD16,2,100429.0,141645.0,27179.8,0.0
326,Q5SQX6;Q7TMB8;Q7TMB8-2,Q5SQX6;Q7TMB8;A0A0R4J119;F6QD74;Q7TMB8-2,CYFP1-2_MOUSE;CYFP1_MOUSE;CYFP2_MOUSE,Cyfip1;Cyfip2,Cytoplasmic FMR1-interacting protein 2,1,52194.1,64148.0,0.0,34497.4
327,Q5SU73,Q5SU73;E9Q284,COIL_MOUSE,Coil,Coilin,2,407243.0,182082.0,0.0,681920.0
328,Q5SUF2;Q5SUF2-2;Q5SUF2-3,Q5SUF2;Q5SUF2-2;Q5SUF2-3,LC7L3-2_MOUSE;LC7L3-3_MOUSE;LC7L3_MOUSE,Luc7l3,Luc7-like protein 3,7,159023.0,154276.0,135066.0,209114.0
329,Q5SV85-2,Q5SV85;Q5SV85-2;V9GX40;V9GXD9,SYNRG-2_MOUSE,Synrg,"Isoform of Q5SV85, Isoform 2 of Synergin gamma",17,683170.0,878083.0,93479.2,733670.0
330,Q5SWU9-2,Q5SWU9;Q5SWU9-2,ACACA-2_MOUSE,Acaca,"Isoform of Q5SWU9, Isoform 2 of Acetyl-CoA carboxylase 1",150,59778900.0,55641000.0,87895900.0,53090700.0
331,Q5U3K5,Q5U3K5,RABL6_MOUSE,Rabl6,Rab-like protein 6,16,981167.0,1044430.0,967546.0,1396790.0
332,Q5U405,Q5U405;E9QPR6,TMPSD_MOUSE,Tmprss13,Transmembrane protease serine 13,1,6430440.0,7133490.0,8438520.0,5912520.0
333,Q60597;Q60597-2;Q60597-3;Q60597-4,E9Q7L0;Q60597;B2RXT3;Q60597-2;Q60597-3;Q60597-4;Z4YJV4,ODO1-2_MOUSE;ODO1-3_MOUSE;ODO1-4_MOUSE;ODO1_MOUSE,Ogdh,"2-oxoglutarate dehydrogenase, mitochondrial",1,0.0,78036.6,56296.2,0.0
334,Q60598,Q60598;Q921L6,SRC8_MOUSE,Cttn,Src substrate cortactin,12,490091.0,518115.0,256199.0,341508.0
335,Q60611,Q60611;Q8VI24;E9PVB7;H3BKH3;Q8VI24-2,SATB1_MOUSE,Satb1,DNA-binding protein SATB1,5,131827.0,117805.0,0.0,81522.9
336,Q60668;Q60668-2;Q60668-3;Q60668-4,Q60668;E9Q5B6;F6ZV59;G3X9W0;G5E8G0;Q60668-2;Q60668-3;Q60668-4,HNRPD-2_MOUSE;HNRPD-3_MOUSE;HNRPD-4_MOUSE;HNRPD_MOUSE,Hnrnpd,Heterogeneous nuclear ribonucleoprotein D0,5,828145.0,874374.0,96300.1,831639.0
337,Q60749,Q60749;Q9R226;Q9WU01;A0A087WR32;A0A087WSL3;A0A2R8VJR4;Q9WU01-2,KHDR1_MOUSE,Khdrbs1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",3,317703.0,381334.0,82595.4,367297.0
338,Q60875;Q60875-4;Q60875-5,Q60875;H3BJ40;H3BJ45;H3BJU7;H3BJX8;H3BKH9;Q60875-4;Q60875-5,ARHG2-4_MOUSE;ARHG2-5_MOUSE;ARHG2_MOUSE,Arhgef2,Rho guanine nucleotide exchange factor 2,6,845276.0,1838950.0,0.0,600696.0
339,Q60899,Q60899;B1AXZ0;B1AXZ4;B1AXZ5;B1AXZ6;Q3UR02;Q80UJ0;Q80Y51,ELAV2_MOUSE,Elavl2,ELAV-like protein 2,2,320997.0,303082.0,0.0,344971.0
340,Q60900;Q60900-2,Q60900;A0A1L1SS95;A0A1L1SUG6;Q60900-2,ELAV3-2_MOUSE;ELAV3_MOUSE,Elavl3,ELAV-like protein 3,4,939246.0,744632.0,0.0,898321.0
341,Q60902;Q60902-2;Q60902-3;Q60902-4,Q60902;A0A1D5RLS1;Q60902-2;Q60902-3;Q60902-4,EP15R-2_MOUSE;EP15R-3_MOUSE;EP15R-4_MOUSE;EP15R_MOUSE,Eps15l1,Epidermal growth factor receptor substrate 15-like 1,3,0.0,145811.0,0.0,0.0
342,Q60930,Q60930;G3UX26,VDAC2_MOUSE,Vdac2,Voltage-dependent anion-selective channel protein 2,4,269906.0,212706.0,205393.0,214455.0
343,Q61026,Q61026;E9PV80,NCOA2_MOUSE,Ncoa2,Nuclear receptor coactivator 2,5,260920.0,265766.0,0.0,238405.0
344,Q61171,Q61171,PRDX2_MOUSE,Prdx2,Peroxiredoxin-2,3,1066460.0,923171.0,992383.0,1401770.0
345,Q61176,Q61176,ARGI1_MOUSE,Arg1,Arginase-1,3,347224.0,325279.0,439441.0,590014.0
346,Q61191,Q61191;B1AUX2,HCFC1_MOUSE,Hcfc1,Host cell factor 1,7,292374.0,291996.0,0.0,387768.0
347,Q61301;Q61301-2;Q61301-3,Q61301;E0CXB9;Q61301-2;Q61301-3,CTNA2-2_MOUSE;CTNA2-3_MOUSE;CTNA2_MOUSE,Ctnna2,Catenin alpha-2,1,503072.0,0.0,0.0,0.0
348,Q61464;Q61464-4,Q61464;A0A0N4SV38;A0A0N4SV80;A0A0N4SVI8;A0A0N4SVM8;E9QKZ7;E9QML5;Q3TZK9;Q61464-2;Q61464-4;Q61464-5;Q61464-7,ZN638-4_MOUSE;ZN638_MOUSE,Znf638,Zinc finger protein 638,18,363378.0,386977.0,0.0,378298.0
349,Q61545,Q61545;Q5SUS9;Q5SUT0,EWS_MOUSE,Ewsr1,RNA-binding protein EWS,1,0.0,259769.0,0.0,236818.0
350,Q61548;Q61548-2;Q61548-3,Q61548;A0A087WSI9;A0A5F8MPL3;E9Q9A3;E9QLK9;E9QQ05;Q3TWS4;Q61548-2;Q61548-3,AP180-2_MOUSE;AP180-3_MOUSE;AP180_MOUSE,Snap91,Clathrin coat assembly protein AP180,6,492905.0,816202.0,113822.0,431393.0
351,Q61656,Q61656;B1ARB9;B1ARC0;Q8BTS0;S4R1E3;S4R1I6,DDX5_MOUSE,Ddx5,Probable ATP-dependent RNA helicase DDX5,33,4884360.0,5396520.0,786803.0,5889590.0
352,Q61699;Q61699-2,Q61699;D3Z3I9;E9Q0U7;Q61699-2,HS105-2_MOUSE;HS105_MOUSE,Hsph1,Heat shock protein 105 kDa,1,0.0,96976.8,0.0,0.0
353,Q61701;Q61701-10;Q61701-11;Q61701-2;Q61701-4;Q61701-5;Q61701-6;Q61701-7;Q61701-9,Q60899;Q60900;Q61701;A0A1L1SS95;A2A9R4;B1AXZ0;B1AXZ4;B1AXZ5;B1AXZ6;H3BLG7;Q3UR02;Q60900-2;Q61701-10;Q61701-11;Q61701-2;Q61701-4;Q61701-5;Q61701-6;Q61701-7;Q61701-9;Q80UJ0;Q80Y51,ELAV4-10_MOUSE;ELAV4-11_MOUSE;ELAV4-2_MOUSE;ELAV4-4_MOUSE;ELAV4-5_MOUSE;ELAV4-6_MOUSE;ELAV4-7_MOUSE;ELAV4-9_MOUSE;ELAV4_MOUSE,Elavl4,ELAV-like protein 4,12,678654.0,536000.0,57191.8,719405.0
354,Q61792,Q61792;A2A6G6;A2A6G7;A2A6G8;A2A6G9;A2A6H0;A2A6H1,LASP1_MOUSE,Lasp1,LIM and SH3 domain protein 1,1,0.0,147352.0,0.0,0.0
355,Q61838,Q61838,PZP_MOUSE,Pzp,Pregnancy zone protein,10,492274.0,405835.0,432146.0,373313.0
356,Q61937,Q61937;Q5SQB0;Q5SQB5;Q9DAY9,NPM_MOUSE,Npm1,Nucleophosmin,1,106267.0,113402.0,0.0,104721.0
357,Q61990;Q61990-3,P57722;Q61990;A0A2R8VHG2;A0A2R8VHY9;A0A2R8VHZ0;A0A2R8VI25;A0A2R8VI92;A0A2R8VJY1;A0A2R8W6L5;B2M1R7;E9Q7D8;G3UYM5;P57722-2;Q61990-2;Q61990-3,PCBP2-3_MOUSE;PCBP2_MOUSE,Pcbp2,Poly(rC)-binding protein 2,5,2459010.0,2449270.0,348842.0,2904830.0
358,Q62093,Q62093,SRSF2_MOUSE,Srsf2,Serine/arginine-rich splicing factor 2,3,855398.0,854119.0,779064.0,950531.0
359,Q62108;Q62108-2;Q62108-3,Q62108;A0A338P6E5;A0A338P6I6;Q62108-2;Q62108-3,DLG4-2_MOUSE;DLG4-3_MOUSE;DLG4_MOUSE,Dlg4,Disks large homolog 4,11,409576.0,838617.0,178290.0,341312.0
360,Q62203,Q62203;D3YW09;D3Z5A6;G3UVU2,SF3A2_MOUSE,Sf3a2,Splicing factor 3A subunit 2,1,92056.3,136062.0,0.0,134815.0
361,Q62266,Q62266,SPR1A_MOUSE,Sprr1a,Cornifin-A,1,858973.0,1614840.0,1697990.0,2556630.0
362,Q62376,Q62376;A0A1B0GR50;A0A1B0GSX5,RU17_MOUSE,Snrnp70,U1 small nuclear ribonucleoprotein 70 kDa,3,316512.0,242860.0,191434.0,211735.0
363,Q62417;Q62417-2;Q62417-3;Q62417-4;Q62417-5;Q62417-6;Q62417-7,Q62417;A0A286YCI8;A0A286YCQ0;A0A286YDN0;A0A5F8MPJ2;A0A668KL65;D3Z5J3;E9PYX6;E9Q6A3;E9QNA7;Q62417-2;Q62417-3;Q62417-4;Q62417-5;Q62417-6;Q62417-7,SRBS1-2_MOUSE;SRBS1-3_MOUSE;SRBS1-4_MOUSE;SRBS1-5_MOUSE;SRBS1-6_MOUSE;SRBS1-7_MOUSE;SRBS1_MOUSE,Sorbs1,Sorbin and SH3 domain-containing protein 1,1,34017.6,58048.3,0.0,0.0
364,Q62419;Q62420,Q62419;Q62420;A0A3B2W7K0;A2ALV1;A2ALV3;Q8BXU5,SH3G1_MOUSE;SH3G2_MOUSE,Sh3gl1;Sh3gl2,Endophilin-A2,1,194483.0,354329.0,35440.8,0.0
365,Q62425,Q62425,NDUA4_MOUSE,Ndufa4,Cytochrome c oxidase subunit NDUFA4,5,387870.0,213937.0,244761.0,209514.0
366,Q63810;Q63810-2;Q63811,Q63810;Q63811;Q63810-2,CANB1-2_MOUSE;CANB1_MOUSE;CANB2_MOUSE,Ppp3r1;Ppp3r2,Calcineurin subunit B type 1,1,0.0,56307.0,0.0,0.0
367,Q63918,Q63918,CAVN2_MOUSE,Cavin2,Caveolae-associated protein 2,1,0.0,81795.3,87896.1,0.0
368,Q63943;Q63943-2,Q63943;E9Q5E0;E9QKT0;Q63943-2;Q921S6,MEF2D-2_MOUSE;MEF2D_MOUSE,Mef2d,Myocyte-specific enhancer factor 2D,1,53671.1,85306.7,0.0,47234.5
369,Q64213;Q64213-2;Q64213-3,Q64213;D3YVH4;D3YZC9;D3YZD0;D6RDB7;E9Q4Q2;F8WHF9;Q64213-2;Q64213-3,SF01-2_MOUSE;SF01-3_MOUSE;SF01_MOUSE,Sf1,Splicing factor 1,6,639906.0,708664.0,66087.1,751008.0
370,Q64331,Q64331;E9PVU0;E9Q174;E9Q175;E9Q3L1;V9GX76;V9GXM4,MYO6_MOUSE,Myo6,Unconventional myosin-VI,26,421726.0,552586.0,0.0,479615.0
371,Q64332,Q64332;Q64332-2,SYN2_MOUSE,Syn2,Synapsin-2,8,365533.0,419499.0,150276.0,388845.0
372,Q64336,Q64336;A2AR81,TBR1_MOUSE,Tbr1,T-box brain protein 1,9,348337.0,323203.0,122160.0,453076.0
373,Q64433,Q64433;Q9JI95,CH10_MOUSE,Hspe1,"10 kDa heat shock protein, mitochondrial",2,96818.5,155933.0,0.0,66440.9
374,Q64522,Q64522,H2A2B_MOUSE,H2ac21,Histone H2A type 2-B,2,2709150.0,1723200.0,2197410.0,2701880.0
375,Q64727,Q64727;A0A286YDJ4,VINC_MOUSE,Vcl,Vinculin,2,11161300.0,7161620.0,10278200.0,7392290.0
376,Q689Z5;Q689Z5-2,Q689Z5;Q7TNB8;A0A0G2JEM3;A0A0G2JGC7;A0A1W2P6Y8;A0A1W2P7W8;B2RRI2;F7CVW0;Q3TMM7;Q689Z5-2;Q7TNB8-2;Q7TNB8-3,SBNO1-2_MOUSE;SBNO1_MOUSE,Sbno1,Protein strawberry notch homolog 1,7,250511.0,228088.0,0.0,275457.0
377,Q68FD5,Q68FD5;Q5SXR6,CLH1_MOUSE,Cltc,Clathrin heavy chain 1,7,152399.0,295667.0,118657.0,213124.0
378,Q68FF6,Q68FF6;Q5F258,GIT1_MOUSE,Git1,ARF GTPase-activating protein GIT1,4,423671.0,554204.0,0.0,235062.0
379,Q69ZA1,Q69ZA1,CDK13_MOUSE,Cdk13,Cyclin-dependent kinase 13,1,96774.1,0.0,0.0,0.0
380,Q69ZA1-2,Q69ZA1;Q69ZA1-2,CDK13-2_MOUSE,Cdk13,"Isoform of Q69ZA1, Isoform 2 of Cyclin-dependent kinase 13",8,691071.0,730706.0,174404.0,639851.0
381,Q6A065,Q6A065;A0A0A6YVZ3;A0A0A6YX99;A0A0A6YXK7;H7BX26;Q6A065-3,CE170_MOUSE,Cep170,Centrosomal protein of 170 kDa,4,0.0,88041.4,0.0,102056.0
382,Q6A0A9,Q6A0A9,F120A_MOUSE,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1,8,134140.0,163061.0,326661.0,138557.0
383,Q6A4J8;Q6A4J8-2;Q6A4J8-3,Q6A4J8;E9PXY8;F8VPX1;G3UWR8;Q6A4J8-2;Q6A4J8-3,UBP7-2_MOUSE;UBP7-3_MOUSE;UBP7_MOUSE,Usp7,Ubiquitin carboxyl-terminal hydrolase 7,1,75735.7,115280.0,0.0,75680.1
384,Q6DID3,Q6DID3,SCAF8_MOUSE,Scaf8,SR-related and CTD-associated factor 8,3,351428.0,405441.0,27157.0,429714.0
385,Q6NV83;Q6NV83-2;Q6NV83-3,Q6NV83;Q6NV83-2;Q6NV83-3,SR140-2_MOUSE;SR140-3_MOUSE;SR140_MOUSE,U2surp,U2 snRNP-associated SURP motif-containing protein,11,440305.0,414034.0,119014.0,492996.0
386,Q6NVF9,Q6NVF9;H3BJ30;H3BJW3;H3BKW0,CPSF6_MOUSE,Cpsf6,Cleavage and polyadenylation specificity factor subunit 6,9,1659750.0,1772050.0,669394.0,1638390.0
387,Q6NXI6;Q6NXI6-2,Q6NXI6;A0A0G2JFW6;Q6NXI6-2,RPRD2-2_MOUSE;RPRD2_MOUSE,Rprd2,Regulation of nuclear pre-mRNA domain-containing protein 2,19,321245.0,377771.0,57566.1,379979.0
388,Q6P1F6,Q6P1F6;Q9CWU3,2ABA_MOUSE,Ppp2r2a,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,2,142937.0,224839.0,61039.7,66962.2
389,Q6P542,Q6P542,ABCF1_MOUSE,Abcf1,ATP-binding cassette sub-family F member 1,4,357822.0,283289.0,353024.0,414764.0
390,Q6P8I4,Q6P8I4;D3YWA4;F8WI88,PCNP_MOUSE,Pcnp,PEST proteolytic signal-containing nuclear protein,5,1346940.0,1820420.0,0.0,1923200.0
